# BLISS footprint polygon
#RA     DEC       POLY
0       -30       1
0.1     -30       1
1       -30       1
2       -30       1 
2       -31       1
1       -32.5     1 
0.1     -35       1 
-0.1    -35       1
-4      -40       1
-10     -40       1
-20     -40       1
-30     -40       1
-40     -40       1
-50     -40       1
-55     -40       1
-55     -40       1 
-55     -35       1 
-55     -30       1
-54     -30       1 
-53     -30       1 
-40     -30       1 
-30     -30       1 
-20     -30       1 
-10     -30       1
-0.1    -30       1
0       -30       1
180.0   -52.0     2
173.8   -51.1     2
168.5   -49.9     2
163.5   -48.4     2
158.8   -46.7     2
154.5   -44.8     2
150.5   -42.7     2
146.7   -40.5     2
143.3   -38.1     2
140.1   -35.5     2
137.2   -32.9     2
134.0   -30.0     2
134     -30       2 
140     -30       2 
145     -30       2 
150     -30       2 
148     -28       2 
145     -25       2 
139     -20       2 
135     -16       2 
135     -13       2 
137     -11       2 
139     -10.5     2 
142     -10.5     2 
144     -10.5     2 
145     -11       2 
148     -15       2 
154     -20       2 
162     -25       2 
173     -30       2 
179.9   -30       2 
-179.9  -30       2
-170    -30       2 
-160    -30       2 
-150    -30       2 
-140    -30       2 
-130    -30       2 
-120    -30       2 
-110    -30       2 
-110.4  -31.9     2
-113.2  -34.5     2
-116.3  -37.1     2
-119.7  -39.5     2
-123.3  -41.9     2
-127.2  -44.0     2
-131.4  -46.0     2
-135.9  -47.8     2
-140.8  -49.3     2
-146.0  -50.7     2
-151.5  -51.7     2
-157.2  -52.4     2
-163.0  -52.8     2
-169.0  -52.9     2
-174.9  -52.6     2
-179.9  -52.6     2
180.0   -52.0     2
