# DeRosita footprint polygon
#RA     DEC       POLY
180.1     -10.550 1
200.2730  -10.550 1 
200.2730  -10.550 1 
231.2329  -10.808 1 
#                 1 
234.3519  -11.913 1 
238.8969  -14.007 1 
238.3959  -15.544 1 
237.8869  -17.081 1 
239.2690  -18.219 1 
238.7570  -19.771 1 
236.8410  -20.161 1 
234.3690  -22.042 1 
233.7989  -23.594 1 
233.2129  -25.154 1 
234.5989  -26.391 1 
233.9959  -27.969 1 
#                 1 
233.3730  -29.558 1 
231.3369  -29.888 1 
220.0190  -29.559 1 
180.1     -29.559 1
179.9     -29.524 2 
175.9080  -29.524 2 
174.0080  -29.890 2 
165.5889  -29.812 2 
151.5779  -29.588 2 
149.6800  -29.658 2 
147.7680  -29.699 2 
145.8419  -29.710 2 
143.9019  -29.693 2 
141.947   -29.643 2 
#                 2 
133.3379  -27.5   2 
130.7150  -25.702 2 
130.0910  -24.140 2 
127.5610  -22.332 2 
125.0760  -20.498 2 
124.5330  -18.962 2 
124.0020  -17.43  2 
123.4809  -15.903 2 
122.9689  -14.380 2 
122.4629  -12.859 2 
121.964   -11.34  2 
123.3079  -10.151 2 
125.1380  -10.406 2 
126.9629  -10.632 2 
161.5080  -10.467 2 
163.3050  -10.382 2 
165.1140  -10.294 2 
166.9339  -10.196 2 
168.7649  -10.097 2 
170.6109  -10.002 2 
179.9     -10.002 2
